key,date,team,name,notes
SmithJ20181019,2018-10-19, Cavaliers,J.R. Smith, returned to lineup
KornetL20181019,2018-10-19, Knicks,Luke Kornet, activated from IL
CrabbeA20181019,2018-10-19, Nets,Allen Crabbe, activated from IL
JohnsonA20181019,2018-10-19, Pacers,Alize Johnson, activated from IL
BoucherC20181019,2018-10-19, Raptors,Chris Boucher, returned to lineup
WilcoxC20181019,2018-10-19, Pacers,C.J. Wilcox, activated from IL
WilliamsR20181020,2018-10-20, Celtics,Robert Williams III, activated from IL
GrahamD20181020,2018-10-20, Hornets,Devonte' Graham, activated from IL
FrazierM20181020,2018-10-20, Magic,Melvin Frazier Jr., activated from IL
BullockR20181020,2018-10-20, Pistons,Reggie Bullock, returned to lineup
JohnsonS20181020,2018-10-20, Pistons,Stanley Johnson, returned to lineup
NanceL20181021,2018-10-21, Cavaliers,Larry Nance Jr., activated from IL
SpellmanO20181021,2018-10-21, Hawks,Omari Spellman, returned to lineup
WestbrookR20181021,2018-10-21, Thunder,Russell Westbrook, returned to lineup
IguodalaA20181021,2018-10-21, Warriors,Andre Iguodala, activated from IL
AsikO20181021,2018-10-21, Bulls,Omer Asik, returned to lineup
DunnK20181022,2018-10-22, Bulls,Kris Dunn, activated from IL
HaywardG20181022,2018-10-22, Celtics,Gordon Hayward, activated from IL
RabbI20181022,2018-10-22, Grizzlies,Ivan Rabb, activated from IL
SimmonsJ20181022,2018-10-22, Magic,Jonathon Simmons, activated from IL
SabonisD20181022,2018-10-22, Pacers,Domantas Sabonis, activated from IL
LeonardK20181022,2018-10-22, Raptors,Kawhi Leonard, activated from IL
MeltonD20181022,2018-10-22, Suns,De'Anthony Melton, activated from IL
DanielsT20181022,2018-10-22, Suns,Troy Daniels, returned to lineup
ButlerJ20181022,2018-10-22, Timberwolves,Jimmy Butler, activated from IL
LeeD20181022,2018-10-22, Warriors,Damion Lee, returned to lineup
CarusoA20181022,2018-10-22, Lakers,Alex Caruso, returned to lineup
MuscalaM20181023,2018-10-23, 76ers,Mike Muscala, activated from IL
LeuerJ20181023,2018-10-23, Pistons,Jon Leuer, activated from IL
SimmonsB20181024,2018-10-24, 76ers,Ben Simmons, activated from IL
FelicioC20181024,2018-10-24, Bulls,Cristiano Felicio, returned to lineup
NwabaD20181024,2018-10-24, Cavaliers,David Nwaba, activated from IL
DedmonD20181024,2018-10-24, Hawks,Dewayne Dedmon, activated from IL
Hollis-JeffersonR20181024,2018-10-24, Nets,Rondae Hollis-Jefferson, returned to lineup
NapierS20181024,2018-10-24, Nets,Shabazz Napier, activated from IL
LeafT20181024,2018-10-24, Pacers,T.J. Leaf, returned to lineup
WrightD20181024,2018-10-24, Raptors,Delon Wright, returned to lineup
LivingstonS20181024,2018-10-24, Warriors,Shaun Livingston, activated from IL
DellavedovaM20181026,2018-10-26, Bucks,Matthew Dellavedova, activated from IL
ShumpertI20181026,2018-10-26, Kings,Iman Shumpert, activated from IL
BarnesH20181026,2018-10-26, Mavericks,Harrison Barnes, returned to lineup
NaderA20181026,2018-10-26, Thunder,Abdel Nader, activated from IL
MahinmiI20181026,2018-10-26, Wizards,Ian Mahinmi, returned to lineup
WagnerM20181026,2018-10-26, Lakers,Moritz Wagner, returned to lineup
WilliamsA20181026,2018-10-26, Nets,Alan Williams, returned to lineup
WatanabeY20181027,2018-10-27, Grizzlies,Yuta Watanabe, activated from IL
AdamsJ20181027,2018-10-27, Hawks,Jaylen Adams, activated from IL
JonesD20181027,2018-10-27, Heat,Derrick Jones Jr., activated from IL
WinslowJ20181027,2018-10-27, Heat,Justise Winslow, activated from IL
EllingtonW20181027,2018-10-27, Heat,Wayne Ellington, returned to lineup
GrahamD20181027,2018-10-27, Hornets,Devonte' Graham, activated from IL
JohnsonA20181027,2018-10-27, Pacers,Alize Johnson, activated from IL
EllensonH20181027,2018-10-27, Pistons,Henry Ellenson, activated from IL
SmithD20181028,2018-10-28, Mavericks,Dennis Smith Jr., returned to lineup
FariedK20181028,2018-10-28, Nets,Kenneth Faried, returned to lineup
KoufosK20181029,2018-10-29, Kings,Kosta Koufos, activated from IL
MudiayE20181029,2018-10-29, Knicks,Emmanuel Mudiay, activated from IL
BoucherC20181029,2018-10-29, Raptors,Chris Boucher, activated from IL
WrightD20181029,2018-10-29, Raptors,Delon Wright, returned to lineup
DavisA20181029,2018-10-29, Pelicans,Anthony Davis, activated from IL
BaynesA20181030,2018-10-30, Celtics,Aron Baynes, activated from IL
Tony(20181030,2018-10-30, Hornets,(William) Tony Parker, activated from IL
LabissiereS20181030,2018-10-30, Kings,Skal Labissiere, activated from IL
LeonardK20181030,2018-10-30, Raptors,Kawhi Leonard, activated from IL
ChrissM20181030,2018-10-30, Rockets,Marquese Chriss, returned to lineup
QiZ20181030,2018-10-30, Rockets,Zhou Qi, returned to lineup
AdamsS20181030,2018-10-30, Thunder,Steven Adams, activated from IL
FavorsD20181031,2018-10-31, Jazz,Derrick Favors, activated from IL
DavisA20181031,2018-10-31, Pelicans,Anthony Davis, returned to lineup
MeltonD20181031,2018-10-31, Suns,De'Anthony Melton, activated from IL
WigginsA20181031,2018-10-31, Timberwolves,Andrew Wiggins, activated from IL
HamiltonD20181031,2018-10-31, Hawks,Daniel Hamilton, returned to lineup
AntetokounmpoG20181101,2018-11-01, Bucks,Giannis Antetokounmpo, activated from IL
PoythressA20181101,2018-11-01, Hawks,Alex Poythress, activated from IL
ShumpertI20181101,2018-11-01, Kings,Iman Shumpert, activated from IL
ParsonsC20181102,2018-11-02, Grizzlies,Chandler Parsons, activated from IL
FrazierM20181102,2018-11-02, Magic,Melvin Frazier Jr., activated from IL
VanVleetF20181102,2018-11-02, Raptors,Fred VanVleet, activated from IL
AnunobyO20181102,2018-11-02, Raptors,Ogugua Anunoby, activated from IL
EnnisJ20181102,2018-11-02, Rockets,James Ennis, activated from IL
BookerD20181102,2018-11-02, Suns,Devin Booker, activated from IL
CanaanI20181102,2018-11-02, Suns,Isaiah Canaan, returned to lineup
ButlerJ20181102,2018-11-02, Timberwolves,Jimmy Butler, activated from IL
JonesT20181102,2018-11-02, Timberwolves,Tyus Jones, returned to lineup
HowardD20181102,2018-11-02, Wizards,Dwight Howard, activated from IL
MorrisM20181102,2018-11-02, Wizards,Markieff Morris, activated from IL
KurucsR20181102,2018-11-02, Nets,Rodions Kurucs, activated from IL
GreenJ20181102,2018-11-02, Grizzlies,JaMychal Green, activated from IL
ChandlerW20181103,2018-11-03, 76ers,Wilson Chandler, activated from IL
TrentG20181103,2018-11-03, Blazers,Gary Trent Jr., activated from IL
BrownJ20181103,2018-11-03, Celtics,Jaylen Brown, activated from IL
MitchellD20181103,2018-11-03, Jazz,Donovan Mitchell, activated from IL
DavisA20181103,2018-11-03, Pelicans,Anthony Davis, returned to lineup
MillerD20181103,2018-11-03, Pelicans,Darius Miller, activated from IL
HardenJ20181103,2018-11-03, Rockets,James Harden, IL
WilliamsT20181104,2018-11-04, Kings,Troy Williams, returned to lineup
SimmonsJ20181104,2018-11-04, Magic,Jonathon Simmons, activated from IL
RichardsonM20181104,2018-11-04, Raptors,Malachi Richardson, activated from IL
MeltonD20181104,2018-11-04, Suns,De'Anthony Melton, activated from IL
McRaeJ20181104,2018-11-04, Wizards,Jordan McRae, activated from IL
KurucsR20181104,2018-11-04, Nets,Rodions Kurucs, returned to lineup
DragicG20181105,2018-11-05, Heat,Goran Dragic, returned to lineup
BurksA20181105,2018-11-05, Jazz,Alec Burks, returned to lineup
KnoxK20181105,2018-11-05, Knicks,Kevin Knox, returned to lineup
RoseD20181105,2018-11-05, Timberwolves,Derrick Rose, returned to lineup
ButlerJ20181105,2018-11-05, Timberwolves,Jimmy Butler, activated from IL
WoodC20181106,2018-11-06, Bucks,Christian Wood, returned to lineup
WarrenT20181106,2018-11-06, Suns,T.J. Warren, activated from IL
PorterO20181106,2018-11-06, Wizards,Otto Porter Jr., activated from IL
ChandlerW20181107,2018-11-07, 76ers,Wilson Chandler, activated from IL
PrinceT20181107,2018-11-07, Hawks,Taurean Prince, activated from IL
WhitesideH20181107,2018-11-07, Heat,Hassan Whiteside, returned to lineup
MitchellD20181107,2018-11-07, Jazz,Donovan Mitchell, returned to lineup
MitchellD20181107,2018-11-07, Jazz,Donovan Mitchell, activated from IL
BogdanovicB20181107,2018-11-07, Kings,Bogdan Bogdanovic, returned to lineup
HardawayT20181107,2018-11-07, Knicks,Tim Hardaway Jr., returned to lineup
BeasleyM20181107,2018-11-07, Lakers,Michael Beasley, returned to lineup
BullockR20181107,2018-11-07, Pistons,Reggie Bullock, activated from IL
LeonardK20181107,2018-11-07, Raptors,Kawhi Leonard, activated from IL
WhiteD20181107,2018-11-07, Spurs,Derrick White, activated from IL
TrentG20181108,2018-11-08, Blazers,Gary Trent Jr., activated from IL
