Date,Team,MP
20181017,Kemba Walker,38.39
20181017,Nicolas Batum,31.49
20181017,Marvin Williams,25.51
20181017,Cody Zeller,21.06
20181017,Jeremy Lamb,20.48
20181017,Malik Monk,33.35
20181017,Michael Kidd-Gilchrist,21.38
20181017,Tony Parker,19.48
20181017,Miles Bridges,14.3
20181017,Willy Hernangomez,12.16
20181017,Malcolm Brogdon,38.01
20181017,Giannis Antetokounmpo,34.46
20181017,Eric Bledsoe,33.32
20181017,Khris Middleton,32.46
20181017,Brook Lopez,21.27
20181017,Ersan Ilyasova,29.0
20181017,Donte DiVincenzo,22.04
20181017,John Henson,12.0
20181017,Tony Snell,11.2
20181017,Christian Wood,4.57
20181017,Sterling Brown,0.07
20181017,Reggie Jackson,35.01
20181017,Blake Griffin,34.17
20181017,Andre Drummond,32.12
20181017,Luke Kennard,19.21
20181017,Bruce Brown,18.52
20181017,Langston Galloway,33.0
20181017,Ish Smith,28.45
20181017,Glenn Robinson,20.04
20181017,Zaza Pachulia,14.43
20181017,Zach Lofton,3.45
20181017,Joe Harris,37.08
20181017,Jared Dudley,35.51
20181017,Caris LeVert,33.59
20181017,Jarrett Allen,30.09
20181017,D'Angelo Russell,24.58
20181017,Spencer Dinwiddie,32.17
20181017,Ed Davis,17.36
20181017,Treveon Graham,17.25
20181017,Rodions Kurucs,10.37
20181017,Thaddeus Young,27.43
20181017,Bojan Bogdanovic,27.06
20181017,Victor Oladipo,25.47
20181017,Darren Collison,21.29
20181017,Myles Turner,20.22
20181017,Domantas Sabonis,28.33
20181017,Cory Joseph,28.17
20181017,Doug McDermott,24.24
20181017,Tyreke Evans,23.34
20181017,Aaron Holiday,3.58
20181017,Kyle O'Quinn,3.58
20181017,Edmond Sumner,3.51
20181017,T.J. Leaf,0.58
20181017,Marc Gasol,30.11
20181017,Mike Conley,28.58
20181017,JaMychal Green,24.59
20181017,Garrett Temple,24.3
20181017,Chandler Parsons,22.33
20181017,Shelvin Mack,29.55
20181017,Jaren Jackson,25.18
20181017,MarShon Brooks,22.04
20181017,Kyle Anderson,19.15
20181017,Dillon Brooks,6.17
20181017,Wayne Selden,6.0
20181017,Aaron Gordon,38.18
20181017,Nikola Vucevic,28.06
20181017,Evan Fournier,23.32
20181017,D.J. Augustin,22.16
20181017,Jonathan Isaac,18.08
20181017,Jonathon Simmons,33.26
20181017,Jerian Grant,25.42
20181017,Terrence Ross,25.32
20181017,Mohamed Bamba,24.58
20181017,Josh Richardson,37.35
20181017,Hassan Whiteside,33.35
20181017,Goran Dragic,32.54
20181017,Rodney McGruder,31.3
20181017,Derrick Jones,17.13
20181017,Dwyane Wade,26.02
20181017,Tyler Johnson,23.45
20181017,Bam Adebayo,21.59
20181017,Kelly Olynyk,15.25
20181017,Frank Ntilikina,33.38
20181017,Tim Hardaway,28.51
20181017,Enes Kanter,27.12
20181017,Trey Burke,20.34
20181017,Lance Thomas,15.3
20181017,Ron Baker,27.26
20181017,Allonzo Trier,26.17
20181017,Kevin Knox,23.38
20181017,Mario Hezonja,19.14
20181017,Noah Vonleh,16.22
20181017,Mitchell Robinson,1.18
20181017,Trae Young,33.08
20181017,Taurean Prince,32.19
20181017,Kent Bazemore,30.16
20181017,Vince Carter,23.58
20181017,Alex Len,21.26
20181017,DeAndre' Bembry,23.19
20181017,Alex Poythress,20.43
20181017,Tyler Dorsey,14.36
20181017,Jeremy Lin,13.42
20181017,Miles Plumlee,9.22
20181017,Omari Spellman,8.19
20181017,Kevin Huerter,4.35
20181017,Jaylen Adams,4.17
20181017,Kawhi Leonard,37.15
20181017,Kyle Lowry,35.35
20181017,Danny Green,32.45
20181017,Jonas Valanciunas,20.24
20181017,Pascal Siakam,19.57
20181017,Serge Ibaka,27.11
20181017,Fred VanVleet,25.24
20181017,OG Anunoby,17.32
20181017,Norman Powell,12.25
20181017,C.J. Miles,10.23
20181017,Lorenzo Brown,0.44
20181017,Malachi Richardson,0.25
20181017,Kevin Love,34.05
20181017,Cedi Osman,33.05
20181017,George Hill,31.27
20181017,Tristan Thompson,27.05
20181017,Rodney Hood,26.19
20181017,Jordan Clarkson,23.09
20181017,Collin Sexton,17.43
20181017,Sam Dekker,16.16
20181017,Ante Zizic,14.24
20181017,Kyle Korver,14.01
20181017,David Nwaba,1.42
20181017,John Holland,0.44
20181017,James Harden,34.43
20181017,P.J. Tucker,34.19
20181017,Chris Paul,32.21
20181017,Clint Capela,26.11
20181017,James Ennis,24.43
20181017,Eric Gordon,29.21
20181017,Carmelo Anthony,27.0
20181017,Michael Carter-Williams,17.44
20181017,Gerald Green,10.28
20181017,Gary Clark,1.35
20181017,Isaiah Hartenstein,1.35
20181017,Anthony Davis,39.07
20181017,Jrue Holiday,38.16
20181017,Elfrid Payton,36.52
20181017,E'Twaun Moore,33.44
20181017,Nikola Mirotic,29.54
20181017,Julius Randle,23.49
20181017,Darius Miller,19.56
20181017,Solomon Hill,12.02
20181017,Kenrich Williams,1.35
20181017,Frank Jackson,1.35
20181017,Jahlil Okafor,1.35
20181017,Cheick Diallo,1.35
20181017,LaMarcus Aldridge,41.39
20181017,DeMar DeRozan,38.11
20181017,Bryn Forbes,30.02
20181017,Rudy Gay,23.29
20181017,Jakob Poeltl,7.52
20181017,Patty Mills,29.53
20181017,Pau Gasol,22.41
20181017,Marco Belinelli,21.47
20181017,Davis Bertans,17.5
20181017,Dante Cunningham,6.36
20181017,Andrew Wiggins,37.27
20181017,Jimmy Butler,31.36
20181017,Jeff Teague,31.32
