key,date,team,name,notes
WilsonD20181017rel,2018-10-17, Bucks,D.J. Wilson, placed on IL with strained right hamstring
DuvalT20181017rel,2018-10-17, Bucks,Trevon Duval, left eye injury (DTD)
SmithJ20181017rel,2018-10-17, Cavaliers,J.R. Smith, sore right elbow (DTD)
NanceL20181017rel,2018-10-17, Cavaliers,Larry Nance Jr., placed on IL with sprained right ankle
WatanabeY20181017rel,2018-10-17, Grizzlies,Yuta Watanabe, placed on IL
HamiltonD20181017rel,2018-10-17, Hawks,Daniel Hamilton, torn rotator cuff in shoulder (out indefinitely)
DedmonD20181017rel,2018-10-17, Hawks,Dewayne Dedmon, placed on IL with left ankle injury
CollinsJ20181017rel,2018-10-17, Hawks,John Collins (Martin), placed on IL with left ankle injury
WaitersD20181017rel,2018-10-17, Heat,Dion Waiters, placed on IL with left ankle injury
JohnsonJ20181017rel,2018-10-17, Heat,James Johnson, placed on IL with sports hernia
WinslowJ20181017rel,2018-10-17, Heat,Justise Winslow, placed on IL with right hamstring injury
EllingtonW20181017rel,2018-10-17, Heat,Wayne Ellington, sore left ankle (DTD)
GrahamD20181017rel,2018-10-17, Hornets,Devonte' Graham, placed on IL
NetoR20181017rel,2018-10-17, Jazz,Raulzinho Neto, placed on IL with right hamstring injury
BogdanovicB20181017rel,2018-10-17, Kings,Bogdan Bogdanovic, left knee injury (out indefinitely)
KoufosK20181017rel,2018-10-17, Kings,Kosta Koufos, placed on IL with strained right hamstring
LeeC20181017rel,2018-10-17, Knicks,Courtney Lee, neck injury (DTD)
MudiayE20181017rel,2018-10-17, Knicks,Emmanuel Mudiay, placed on IL with sprained right ankle
HicksI20181017rel,2018-10-17, Knicks,Isaiah Hicks, placed on IL with sprained left ankle
PorzingisK20181017rel,2018-10-17, Knicks,Kristaps Porzingis, recovering from surgery on left knee to repair torn ACL (out for season)
KornetL20181017rel,2018-10-17, Knicks,Luke Kornet, placed on IL
FrazierM20181017rel,2018-10-17, Magic,Melvin Frazier Jr., placed on IL
